,Target,Weight,Count,User Weight,User Score,Score Diff,Score Diff z-score
1993,The Third: Aoi Hitomi no Shoujo,0.0374331550802139,1,0.0374331550802139,6.0,-1.4909999999999997,-1.5433730988764294
1994,The iDOLM@STER,0.09010387422796183,2,0.4235962942167322,9.0,0.7189999999999994,0.3431855430911126
1995,Tian Guan Ci Fu,0.018918918918918927,1,0.05675675675675678,8.0,0.009000000000000341,-0.26290343238262204
1996,Tiger & Bunny,0.9770336112879768,6,2.8807060333961334,7.833333333333333,-0.1943333333333337,-0.4364782093962276
1997,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,0.07107221638114086,2,0.2762797122064856,8.5,0.5790000000000006,0.22367504088502493
1998,Time Travel Tondekeman!,0.010886469673405912,1,0.05443234836702956,10.0,0.8889999999999993,0.4883054386270773
1999,To Be Hero,1.255789623055825,5,2.7852656383357783,7.6,-0.4510000000000005,-0.655580796774057
2000,To Heart,0.013779527559055118,1,0.0688976377952756,10.0,1.9489999999999998,1.3931706696160346
2001,Toaru Hikuushi e no Koiuta,0.00850546780072904,1,0.03402187120291616,9.0,0.49900000000000055,0.15538332533868848
2002,Toaru Hikuushi e no Tsuioku,0.08293460925039872,2,0.2488038277511962,8.0,-0.031000000000000583,-0.297049290155791
2003,Toaru Kagaku no Railgun,0.9749865274607133,9,2.0308845162002824,7.888888888888889,-0.0021111111111116188,-0.27238839287516947
2004,Toaru Kagaku no Railgun S,0.02610386097775374,2,0.08486713097572521,8.5,-0.0860000000000003,-0.34399984459389704
2005,Toaru Majutsu no Index,0.5346072402341757,12,1.0274974099541945,6.75,-1.1310000000000002,-1.236060378917916
2006,Toaru Majutsu no Index II,0.07993443910692166,3,0.1253889845614671,6.666666666666667,-1.1843333333333321,-1.281588189282139
2007,Togainu no Chi,0.008009153318077805,1,0.024027459954233416,8.0,0.4790000000000001,0.138310396452104
2008,Toji no Miko,0.08139534883720931,1,0.32558139534883723,9.0,0.5890000000000004,0.2322115053283168
2009,Toki wo Kakeru Shoujo,2.4622818834729308,18,9.913278456699993,9.0,0.7312222222222218,0.3536189996329141
2010,Tokimeki Memorial: Only Love,0.013779527559055118,1,0.0688976377952756,10.0,1.9489999999999998,1.3931706696160346
2011,Tokkou,0.0196078431372549,1,0.0392156862745098,7.0,-1.3810000000000002,-1.4494719900002173
2012,Tokyo ESP,0.09613321241494248,3,0.16009045323785495,7.0,-0.7409999999999997,-0.9031382656295257
2013,Tokyo Ghoul,9.026767807800816,25,17.07666820248179,7.56,-0.43260000000000165,-0.6398737021984006
2014,Tokyo Ghoul √A,2.284179884309916,7,4.525274031426961,7.0,-0.9281428571428574,-1.0628921002111344
2015,"Tokyo Ghoul: ""Jack""",0.0374331550802139,1,0.0374331550802139,6.0,-1.4909999999999997,-1.5433730988764294
2016,Tokyo Ghoul:re,0.06319296780072904,2,0.14339687120291617,8.0,0.004000000000000448,-0.26717166460426794
2017,Tokyo Godfathers,0.1283736590713335,3,0.43163260512097723,8.666666666666666,0.23233333333333306,-0.07225572648243349
2018,Tokyo Magnitude 8.0,1.1766991816179428,8,4.036393949060915,9.375,1.1289999999999978,0.6931805852660852
2019,Tokyo Majin Gakuen Kenpucho: Tou,0.039800443458980046,2,0.01696230598669622,5.0,-3.151,-2.9604261964629095
